Hourly,Environment:Site Diffuse Solar Radiation Rate per Area[W/m2],Environment:Site Direct Solar Radiation Rate per Area[W/m2],ESTE:Zone Air Relative Humidity[%],OESTE:Zone Air Relative Humidity[%],ESTE:Zone Air Temperature[C],OESTE:Zone Air Temperature[C]
2006-Jan-03 19:00:00,0.0,0.0,23.342433082831565,22.79023352298097,29.22280900541287,29.63781835178165
2006-Jan-03 20:00:00,0.0,0.0,23.22668357399178,23.041142472862607,29.30176961760505,29.4410477595949
2006-Jan-03 21:00:00,0.0,0.0,23.584424136955477,23.565704213772477,29.037496292860208,29.05138203672232
2006-Jan-03 22:00:00,0.0,0.0,24.240286225655556,24.25662320393126,28.564543406879764,28.552811352509593
2006-Jan-03 23:00:00,0.0,0.0,25.264027369902532,25.262387651630295,27.854324807447963,27.855478429315266
2006-Jan-04 00:00:00,0.0,0.0,26.53229272871137,26.53434877892475,27.017584191994093,27.016059981856543
2006-Jan-04 01:00:00,0.0,0.0,27.78208523978304,27.7187188942122,26.23543529014613,26.27406610648111
2006-Jan-04 02:00:00,0.0,0.0,28.976341625282334,28.90865770995548,25.524581733811832,25.564001254577477
2006-Jan-04 03:00:00,0.0,0.0,30.176180429750147,30.13345555271791,24.84294574911583,24.866772998949145
2006-Jan-04 04:00:00,0.0,0.0,31.409584152174897,31.398514176413645,24.17349742804244,24.179422327882595
2006-Jan-04 05:00:00,0.0,0.0,32.70766561206151,32.718516281494864,23.50021194902955,23.494749750690534
2006-Jan-04 06:00:00,0.0,0.0,33.974553276874595,34.00210136186075,22.82737788560898,22.814021780846147
2006-Jan-04 07:00:00,0.0,0.0,35.30976882815323,35.34803234442507,22.16187219194965,22.144109175283223
2006-Jan-04 08:00:00,36.111111111111114,464.3888888888889,36.71301441265073,36.75532846619904,21.523605238986548,21.50477381835098
2006-Jan-04 09:00:00,70.75,728.8333333333334,37.89389226142024,37.76341828468476,21.021351965560275,21.077220782055065
2006-Jan-04 10:00:00,86.08333333333333,846.8333333333334,38.2755021115371,37.55487796111421,20.88295290342904,21.19268637615851
2006-Jan-04 11:00:00,94.66666666666667,910.3333333333334,37.58449567770488,35.840162120045484,21.2001040471948,21.979407784237214
2006-Jan-04 12:00:00,101.5,933.5833333333334,36.096713486962535,32.919620755342905,21.876739558434522,23.400517489968156
2006-Jan-04 13:00:00,102.25,935.25,33.86566903192311,30.038258082338544,22.94084221584858,24.936832315727912
2006-Jan-04 14:00:00,98.0,914.9166666666666,31.100694031168015,27.62564690095729,24.363315142867886,26.35564231291814
2006-Jan-04 15:00:00,89.33333333333333,850.6666666666666,28.562569210812967,25.62455391490556,25.800346082370506,27.643270367445734
2006-Jan-04 16:00:00,74.16666666666667,723.3333333333334,26.26843959540496,24.02730634286385,27.22390693123353,28.751512224308943
2006-Jan-04 17:00:00,49.333333333333336,531.4166666666666,24.39607075412957,22.88347232672645,28.489642383577486,29.59451177807288
2006-Jan-04 18:00:00,18.666666666666668,230.66666666666666,23.155844999344342,22.240288996335195,29.381888796047388,30.082266795663127
2006-Jan-04 19:00:00,0.0,0.0,22.493362343140877,22.10139307274058,29.87253418409686,30.178609689211346
2006-Jan-04 20:00:00,0.0,0.0,22.405541418445353,22.37395562834588,29.93514242586235,29.959944009751585
2006-Jan-04 21:00:00,0.0,0.0,22.76788623506801,22.906319406479856,29.656456058754333,29.55135656627249
2006-Jan-04 22:00:00,0.0,0.0,23.4103213354791,23.607211255540445,29.17439832072941,29.029382181459173
2006-Jan-04 23:00:00,0.0,0.0,24.403684000999377,24.580530984382076,28.457672682612113,28.333437598605112
2006-Jan-05 00:00:00,0.0,0.0,25.67970148615366,25.85556261210799,27.583388656713435,27.466399316843084
2006-Jan-05 01:00:00,0.0,0.0,26.991968324120034,27.089181300790756,26.73311063796983,26.67193269442467
2006-Jan-05 02:00:00,0.0,0.0,28.249428451590873,28.334156436520388,25.961301528831882,25.91070501118253
2006-Jan-05 03:00:00,0.0,0.0,29.515264776360596,29.617469708156197,25.2225895045985,25.1645851866826
2006-Jan-05 04:00:00,0.0,0.0,30.810240373054125,30.946264853546506,24.503051613440118,24.429497140626083
2006-Jan-05 05:00:00,0.0,0.0,32.1679780456983,32.325097002198305,23.78437679590371,23.703447441443135
2006-Jan-05 06:00:00,0.0,0.0,33.47122934772583,33.642724595602346,23.072177904479403,22.987728878336373
2006-Jan-05 07:00:00,0.0,0.0,34.82651124047317,35.00488380594016,22.384785874282954,22.300810908713355
2006-Jan-05 08:00:00,34.97222222222222,483.25,36.23742393307611,36.41643534099387,21.741740456965843,21.661106108086216
